Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Bronze,2024-07-30,Clarisse AGBEGNENOU,F,Judo,Women -63 kg,France,FRA,1
Silver,2024-11-08,PARK Hyejeong,F,Weightlifting,Women's +81kg,Korea,KOR,2
Bronze,2024-03-08,Christophe LAPORTE,H,Cycling Road,Men's Road Race,France,FRA,1
Silver,2024-10-08,Caden CUNNINGHAM,H,Taekwondo,Men +80kg,Great Britain,GBR,2
Silver,2024-07-08,Theerapong SILACHAI,H,Weightlifting,Men's 61kg,Thailand,THA,2
Silver,2024-06-08,HIRAKI Cocona,F,Skateboarding,Women's Park,Japan,JPN,2
Bronze,2024-02-08,Florent MANAUDOU,H,Swimming,Men's 50m Freestyle,France,FRA,1
Gold,2024-05-08,Beatrice CHEBET,F,Athletics,Women's 5000m,Kenya,KEN,3
Gold,2024-07-29,Manon APITHY-BRUNET,F,Fencing,Women's Sabre Individual,France,FRA,3
Silver,2024-04-08,Bence HALASZ,H,Athletics,Men's Hammer Throw,Hungary,HUN,2
Bronze,2024-07-08,Hampton MORRIS,H,Weightlifting,Men's 61kg,United States,USA,1
Silver,2024-06-08,CAO Liguo,H,Wrestling,Men's Greco-Roman 60kg,China,CHN,2
Bronze,2024-08-08,PANG Qianyu,F,Wrestling,Women's Freestyle 53kg,China,CHN,1
Bronze,2024-02-08,KIM Hayun,F,Judo,Women +78 kg,Korea,KOR,1
Gold,2024-04-08,Bobby FINKE,H,Swimming,Men's 1500m Freestyle,United States,USA,3
Bronze,2024-07-29,Luke HOBSON,H,Swimming,Men's 200m Freestyle,United States,USA,1
Silver,2024-02-08,Viyaleta BARDZILOUSKAYA,F,Trampoline Gymnastics,Women,AIN,AIN,2
Silver,2024-09-08,Pedro PICHARDO,H,Athletics,Men's Triple Jump,Portugal,POR,2
Gold,2024-07-08,Nina KENNEDY,F,Athletics,Women's Pole Vault,Australia,AUS,3
Silver,2024-10-08,Bashir ABDI,H,Athletics,Men's Marathon,Belgium,BEL,2
Silver,2024-03-08,Conner Lynn PRINCE,H,Shooting,Skeet Men,United States,USA,2
Bronze,2024-07-27,Eszter MUHARI,F,Fencing,Women's Épée Individual,Hungary,HUN,1
Gold,2024-09-08,Firas KATOUSSI,H,Taekwondo,Men -80kg,Tunisia,TUN,3
Gold,2024-07-28,Lee KIEFER,F,Fencing,Women's Foil Individual,United States,USA,3
Bronze,2024-07-28,Larissa PIMENTA,F,Judo,Women -52 kg,Brazil,BRA,1
Silver,2024-01-08,Apostolos CHRISTOU,H,Swimming,Men's 200m Backstroke,Greece,GRE,2
Bronze,2024-07-28,Mexico,F,Archery,Women's Team,Mexico,MEX,1
Silver,2024-10-08,Netherlands,F,Athletics,Women's 4 x 400m Relay,Netherlands,NED,2
Silver,2024-07-08,PINTADO B/MOREJON G,Mixte,Athletics,Marathon Race Walk Relay Mixed,Ecuador,ECU,2
Gold,2024-07-08,MARTIN A/PEREZ M,Mixte,Athletics,Marathon Race Walk Relay Mixed,Spain,ESP,3
Bronze,2024-02-08,WATANABE/HIGASHINO,Mixte,Badminton,Mixed Doubles,Japan,JPN,1
Gold,2024-05-08,Germany,F,3x3 Basketball,Women,Germany,GER,3
Gold,2024-09-08,CARRINGTON/HOSKIN,F,Canoe Sprint,Women's Kayak Double 500m,New Zealand,NZL,3
Silver,2024-07-27,United States,F,Diving,Women's Synchronised 3m Springboard,United States,USA,2
Silver,2024-09-08,France,H,Football,Men,France,FRA,2
Silver,2024-11-08,Germany,H,Handball,Men,Germany,GER,2
Gold,2024-10-08,Norway,F,Handball,Women,Norway,NOR,3
Bronze,2024-03-08,United States,H,Rowing,Men's Eight,United States,USA,1
Bronze,2024-02-08,Greece,H,Rowing,Lightweight Men's Double Sculls,Greece,GRE,1
Silver,2024-01-08,Netherlands,H,Rowing,Men's Double Sculls,Netherlands,NED,2
Silver,2024-02-08,Romania,F,Rowing,Women's Pair,Romania,ROU,2
Gold,2024-07-27,France,H,Rugby Sevens,Men,France,FRA,3
Gold,2024-07-08,China,Équipe,Artistic Swimming,Team,China,CHN,3
Bronze,2024-07-27,Italy,H,Swimming,Men's 4 x 100m Freestyle Relay,Italy,ITA,1
Silver,2024-04-08,United States,H,Swimming,Men's 4 x 100m Medley Relay,United States,USA,2
Gold,2024-07-27,Australia,F,Swimming,Women's 4 x 100m Freestyle Relay,Australia,AUS,3
Silver,2024-04-08,Australia,F,Swimming,Women's 4 x 100m Medley Relay,Australia,AUS,2
Gold,2024-07-29,David POPOVICI,H,Swimming,Men's 200m Freestyle,Romania,ROU,3
Silver,2024-10-08,Varazdat LALAYAN,H,Weightlifting,Men's +102kg,Armenia,ARM,2
Silver,2024-01-08,Ilia SULAMANIDZE,H,Judo,Men -100 kg,Georgia,GEO,2
Gold,2024-09-08,Magomed Eldarovitch RAMAZANOV,H,Wrestling,Men's Freestyle 86kg,Bulgaria,BUL,3
Bronze,2024-07-28,Denis VIERU,H,Judo,Men -66 kg,Republic of Moldova,MDA,1
Bronze,2024-04-08,Mykhaylo KOKHAN,H,Athletics,Men's Hammer Throw,Ukraine,UKR,1
Silver,2024-05-08,CHO Yeongjae,H,Shooting,25m Rapid Fire Pistol Men,Korea,KOR,2
Gold,2024-06-08,QUAN Hongchan,F,Diving,Women's 10m Platform,China,CHN,3
Bronze,2024-05-08,Gabriel MEDINA,H,Surfing,Men,Brazil,BRA,1
Bronze,2024-01-08,Sunisa LEE,F,Artistic Gymnastics,Women's All-Around,United States,USA,1
Gold,2024-08-08,Tara DAVIS-WOODHALL,F,Athletics,Women's Long Jump,United States,USA,3
Gold,2024-07-29,Summer McINTOSH,F,Swimming,Women's 400m Individual Medley,Canada,CAN,3
Gold,2024-01-08,Summer McINTOSH,F,Swimming,Women's 200m Butterfly,Canada,CAN,3
Silver,2024-07-31,DPR Korea,F,Diving,Women's Synchronised 10m Platform,DPR Korea,PRK,2
Bronze,2024-07-08,Mobina NEMATZADEH,F,Taekwondo,Women -49kg,IR Iran,IRI,1
Bronze,2024-08-08,Zhan BELENIUK,H,Wrestling,Men's Greco-Roman 87kg,Ukraine,UKR,1
Silver,2024-11-08,Givi MATCHARASHVILI,H,Wrestling,Men's Freestyle 97kg,Georgia,GEO,2
Bronze,2024-02-08,Temur RAKHIMOV,H,Judo,Men +100 kg,Tajikistan,TJK,1
Bronze,2024-10-08,Balint KOPASZ,H,Canoe Sprint,Men's Kayak Single 1000m,Hungary,HUN,1
Silver,2024-07-08,Sofiane OUMIHA,H,Boxing,Men's 63.5kg,France,FRA,2
Gold,2024-10-08,LIN Yu Ting,F,Boxing,Women's 57kg,Chinese Taipei,TPE,3
Bronze,2024-04-08,IM Aeji,F,Boxing,Women's 54kg,Korea,KOR,1
Silver,2024-07-28,KIM Yeji,F,Shooting,10m Air Pistol Women,Korea,KOR,2
Silver,2024-07-29,Victor KORETZKY,H,Cycling Mountain Bike,Men's Cross-country,France,FRA,2
Bronze,2024-03-08,Jake JARMAN,H,Artistic Gymnastics,Men's Floor Exercise,Great Britain,GBR,1
Gold,2024-07-28,Leon MARCHAND,H,Swimming,Men's 400m Individual Medley,France,FRA,3
Silver,2024-05-08,Faith KIPYEGON,F,Athletics,Women's 5000m,Kenya,KEN,2
Gold,2024-07-29,Thomas PIDCOCK,H,Cycling Mountain Bike,Men's Cross-country,Great Britain,GBR,3
Silver,2024-04-08,Gregorio PALTRINIERI,H,Swimming,Men's 1500m Freestyle,Italy,ITA,2
Gold,2024-01-08,Kate DOUGLASS,F,Swimming,Women's 200m Breaststroke,United States,USA,3
Silver,2024-07-27,Fares FERJANI,H,Fencing,Men's Sabre Individual,Tunisia,TUN,2
Gold,2024-07-29,Mollie O'CALLAGHAN,F,Swimming,Women's 200m Freestyle,Australia,AUS,3
Bronze,2024-08-08,Noah LYLES,H,Athletics,Men's 200m,United States,USA,1
Bronze,2024-03-08,Ilya KHARUN,H,Swimming,Men's 100m Butterfly,Canada,CAN,1
Silver,2024-10-08,Marco AROP,H,Athletics,Men's 800m,Canada,CAN,2
Silver,2024-04-08,Kishane THOMPSON,H,Athletics,Men's 100m,Jamaica,JAM,2
Bronze,2024-04-08,CHIA/SOH,H,Badminton,Men's Doubles,Malaysia,MAS,1
Gold,2024-02-08,Netherlands,F,Rowing,Women's Pair,Netherlands,NED,3
Bronze,2024-02-08,Greece,F,Rowing,Lightweight Women's Double Sculls,Greece,GRE,1
Gold,2024-02-08,AANHOLT/DUETZ,F,Sailing,Women's Skiff,Netherlands,NED,3
Bronze,2024-01-08,Swapnil KUSALE,H,Shooting,50m Rifle 3 Positions Men,India,IND,1
Bronze,2024-10-08,Giorgio MALAN,H,Modern Pentathlon,Men's Individual,Italy,ITA,1
Silver,2024-04-08,Carlos ALCARAZ,H,Tennis,Men's Singles,Spain,ESP,2
Gold,2024-08-08,Saeid ESMAEILI LEIVESI,H,Wrestling,Men's Greco-Roman 67kg,IR Iran,IRI,3
Silver,2024-09-08,Nadia BATTOCLETTI,F,Athletics,"Women's 10,000m",Italy,ITA,2
Bronze,2024-09-08,Jakob SCHUBERT,H,Sport Climbing,Men's Boulder & Lead,Austria,AUT,1
Silver,2024-09-08,ANRAKU Sorato,H,Sport Climbing,Men's Boulder & Lead,Japan,JPN,2
Bronze,2024-07-08,Cyrian RAVET,H,Taekwondo,Men -58kg,France,FRA,1
Bronze,2024-07-29,Olga KHARLAN,F,Fencing,Women's Sabre Individual,Ukraine,UKR,1
Gold,2024-07-31,Leon MARCHAND,H,Swimming,Men's 200m Breaststroke,France,FRA,3
Silver,2024-04-08,ZOU Jingyuan,H,Artistic Gymnastics,Men's Rings,China,CHN,2
Silver,2024-11-08,Matthew RICHARDSON,H,Cycling Track,Men's Keirin,Australia,AUS,2
Gold,2024-07-27,Ariarne TITMUS,F,Swimming,Women's 400m Freestyle,Australia,AUS,3
Gold,2024-02-08,Kaylee McKEOWN,F,Swimming,Women's 200m Backstroke,Australia,AUS,3
Silver,2024-06-08,Annette Nneka ECHIKUNWOKE,F,Athletics,Women's Hammer Throw,United States,USA,2
Gold,2024-07-29,Korea,H,Archery,Men's Team,Korea,KOR,3
Bronze,2024-09-08,MACKENZIE/VINCENT,F,Canoe Sprint,Women's Canoe Double 500m,Canada,CAN,1
Bronze,2024-09-08,Great Britain,H,Athletics,Men's 4 x 100m Relay,Great Britain,GBR,1
Bronze,2024-09-08,Germany,F,Athletics,Women's 4 x 100m Relay,Germany,GER,1
Bronze,2024-03-08,MATSUYAMA/SHIDA,F,Badminton,Women's Doubles,Japan,JPN,1
Silver,2024-05-08,France,H,3x3 Basketball,Men,France,FRA,2
Silver,2024-10-08,France,H,Basketball,Men,France,FRA,2
Gold,2024-07-08,Australia,H,Cycling Track,Men's Team Pursuit,Australia,AUS,3
Silver,2024-09-08,Great Britain,F,Cycling Track,Women's Madison,Great Britain,GBR,2
Gold,2024-09-08,Italy,F,Cycling Track,Women's Madison,Italy,ITA,3
Gold,2024-07-27,China,F,Diving,Women's Synchronised 3m Springboard,China,CHN,3
Silver,2024-07-29,France,Équipe,Equestrian,Eventing Team,France,FRA,2
Silver,2024-02-08,United States,Équipe,Equestrian,Jumping Team,United States,USA,2
Silver,2024-01-08,Great Britain,F,Rowing,Women's Four,Great Britain,GBR,2
Silver,2024-01-08,Romania,F,Rowing,Women's Double Sculls,Romania,ROU,2
Silver,2024-07-30,Türkiye 2,Mixte,Shooting,10m Air Pistol Mixed Team,Türkiye,TUR,2
Bronze,2024-05-08,China,Mixte,Shooting,Skeet Mixed Team,China,CHN,1
Silver,2024-07-30,RI/KIM,Mixte,Table Tennis,Mixed Doubles,DPR Korea,PRK,2
Bronze,2024-11-08,United States,H,Water Polo,Men,United States,USA,1
Silver,2024-02-08,Berihu AREGAWI,H,Athletics,"Men's 10,000m",Ethiopia,ETH,2
Gold,2024-07-31,Cassandre BEAUGRAND,F,Triathlon,Women's Individual,France,FRA,3
Silver,2024-06-08,Meerim ZHUMANAZAROVA,F,Wrestling,Women's Freestyle 68kg,Kyrgyzstan,KGZ,2
Silver,2024-07-08,Yusneylis GUZMAN LOPEZ,F,Wrestling,Women's Freestyle 50kg,Cuba,CUB,2
Silver,2024-02-08,Raz HERSHKO,F,Judo,Women +78 kg,Israel,ISR,2
Gold,2024-07-28,OH Ye Jin,F,Shooting,10m Air Pistol Women,Korea,KOR,3
Gold,2024-08-08,Benjamin THOMAS,H,Cycling Track,Men's Omnium,France,FRA,3
Gold,2024-07-27,TSUNODA Natsumi,F,Judo,Women -48 kg,Japan,JPN,3
Gold,2024-09-08,CHEN Yiwen,F,Diving,Women's 3m Springboard,China,CHN,3
Bronze,2024-04-08,LEE Wooseok,H,Archery,Men's Individual,Korea,KOR,1
Gold,2024-03-08,CHEN Meng,F,Table Tennis,Women's Singles,China,CHN,3
Bronze,2024-09-08,Simone ALESSIO,H,Taekwondo,Men -80kg,Italy,ITA,1
Bronze,2024-02-08,Iga SWIATEK,F,Tennis,Women's Singles,Poland,POL,1
Gold,2024-10-08,Ahmed ELGENDY,H,Modern Pentathlon,Men's Individual,Egypt,EGY,3
Silver,2024-07-29,Katie GRIMES,F,Swimming,Women's 400m Individual Medley,United States,USA,2
Gold,2024-09-08,SAKURAI Tsugumi,F,Wrestling,Women's Freestyle 57kg,Japan,JPN,3
Silver,2024-10-08,Jessica HULL,F,Athletics,Women's 1500m,Australia,AUS,2
Gold,2024-07-31,Jessica FOX,F,Canoe Slalom,Women's Canoe Single,Australia,AUS,3
Bronze,2024-11-08,Matthew GLAETZER,H,Cycling Track,Men's Keirin,Australia,AUS,1
Silver,2024-07-08,Tom SCHAAR,H,Skateboarding,Men's Park,United States,USA,2
Bronze,2024-04-08,Austen Jewell SMITH,F,Shooting,Skeet Women,United States,USA,1
Silver,2024-01-08,Tatjana SMITH,F,Swimming,Women's 200m Breaststroke,South Africa,RSA,2
Gold,2024-07-08,Marit BOUWMEESTER,F,Sailing,Women's Dinghy,Netherlands,NED,3
Silver,2024-06-08,Peruth CHEMUTAI,F,Athletics,Women's 3000m Steeplechase,Uganda,UGA,2
Bronze,2024-08-08,Alizadeh KIMIA,F,Taekwondo,Women -57kg,Bulgaria,BUL,1
Silver,2024-07-28,China,F,Archery,Women's Team,China,CHN,2
Gold,2024-02-08,Korea,Mixte,Archery,Mixed Team,Korea,KOR,3
Gold,2024-10-08,United States,F,Athletics,Women's 4 x 400m Relay,United States,USA,3
Silver,2024-08-08,Germany,F,Canoe Sprint,Women's Kayak Four 500m,Germany,GER,2
Gold,2024-03-08,France,Mixte,Judo,Mixed Team,France,FRA,3
Silver,2024-02-08,Great Britain,H,Rowing,Men's Pair,Great Britain,GBR,2
Bronze,2024-02-08,STEYAERT/PICON,F,Sailing,Women's Skiff,France,FRA,1
Bronze,2024-07-30,India 1,Mixte,Shooting,10m Air Pistol Mixed Team,India,IND,1
Gold,2024-10-08,China,F,Artistic Swimming,Duet,China,CHN,3
Bronze,2024-07-27,China,F,Swimming,Women's 4 x 100m Freestyle Relay,China,CHN,1
Bronze,2024-02-08,DABROWSKI/AUGER-ALIAS,Mixte,Tennis,Mixed Doubles,Canada,CAN,1
Bronze,2024-10-08,Brazil,F,Volleyball,Women,Brazil,BRA,1
Bronze,2024-07-31,David POPOVICI,H,Swimming,Men's 100m Freestyle,Romania,ROU,1
Silver,2024-07-30,Tato GRIGALASHVILI,H,Judo,Men -81 kg,Georgia,GEO,2
Bronze,2024-09-08,Serghei TARNOVSCHI,H,Canoe Sprint,Men's Canoe Single 1000m,Republic of Moldova,MDA,1
Silver,2024-09-08,Oliver KLEMET,H,Marathon Swimming,Men's 10km,Germany,GER,2
Silver,2024-10-08,Cyrena SAMBA-MAYELA,F,Athletics,Women's 100m Hurdles,France,FRA,2
Gold,2024-07-29,Michael JUNG,Équipe,Equestrian,Eventing Individual,Germany,GER,3
Gold,2024-05-08,OKA Shinnosuke,H,Artistic Gymnastics,Men's Horizontal Bar,Japan,JPN,3
Gold,2024-07-27,OH Sanguk,H,Fencing,Men's Sabre Individual,Korea,KOR,3
Gold,2024-07-29,Tatjana SMITH,F,Swimming,Women's 100m Breaststroke,South Africa,RSA,3
Silver,2024-03-08,Josh LIENDO,H,Swimming,Men's 100m Butterfly,Canada,CAN,2
Gold,2024-08-08,Sharon van ROUWENDAAL,F,Marathon Swimming,Women's 10km,Netherlands,NED,3
Bronze,2024-07-27,Francisco GARRIGOS,H,Judo,Men -60 kg,Spain,ESP,1
Bronze,2024-03-08,Rajindra CAMPBELL,H,Athletics,Men's Shot Put,Jamaica,JAM,1
Silver,2024-08-08,Alireza MOHMADIPIANI,H,Wrestling,Men's Greco-Roman 87kg,IR Iran,IRI,2
Bronze,2024-07-30,Laura FAZLIU,F,Judo,Women -63 kg,Kosovo,KOS,1
Gold,2024-09-08,THIAM Nafissatou,F,Athletics,Women's Heptathlon,Belgium,BEL,3
Silver,2024-01-08,Maria PEREZ,F,Athletics,Women's 20km Race Walk,Spain,ESP,2
Bronze,2024-11-08,Emma FINUCANE,F,Cycling Track,Women's Sprint,Great Britain,GBR,1
Bronze,2024-07-31,XIAO Ruoteng,H,Artistic Gymnastics,Men's All-Around,China,CHN,1
Silver,2024-05-08,Kunlavut VITIDSARN,H,Badminton,Men's Singles,Thailand,THA,2
Gold,2024-10-08,LI Qian,F,Boxing,Women's 75kg,China,CHN,3
Silver,2024-10-08,Ayoub GHADFA DRISSI EL AISSAOUI,H,Boxing,Men's +92kg,Spain,ESP,2
Bronze,2024-07-30,Katharine BERKOFF,F,Swimming,Women's 100m Backstroke,United States,USA,1
Bronze,2024-07-29,Emma WEYANT,F,Swimming,Women's 400m Individual Medley,United States,USA,1
Bronze,2024-10-08,Neisi Patricia DAJOMES BARRERA,F,Weightlifting,Women's 81kg,Ecuador,ECU,1
Bronze,2024-07-29,Alan HATHERLY,H,Cycling Mountain Bike,Men's Cross-country,South Africa,RSA,1
Gold,2024-10-08,Lisa CARRINGTON,F,Canoe Sprint,Women's Kayak Single 500m,New Zealand,NZL,3
Gold,2024-05-08,Finn BUTCHER,H,Canoe Slalom,Men's Kayak Cross,New Zealand,NZL,3
Gold,2024-07-08,Matt WEARN,H,Sailing,Men's Dinghy,Australia,AUS,3
Gold,2024-06-08,Arisa TREW,F,Skateboarding,Women's Park,Australia,AUS,3
Bronze,2024-07-28,Rayssa LEAL,F,Skateboarding,Women's Street,Brazil,BRA,1
Gold,2024-01-08,Simone BILES,F,Artistic Gymnastics,Women's All-Around,United States,USA,3
Gold,2024-04-08,Carlos Edriel YULO,H,Artistic Gymnastics,Men's Vault,Philippines,PHI,3
Silver,2024-05-08,Spain,F,3x3 Basketball,Women,Spain,ESP,2
Gold,2024-05-08,Great Britain,F,Cycling Track,Women's Team Sprint,Great Britain,GBR,3
Gold,2024-09-08,Spain,H,Football,Men,Spain,ESP,3
Bronze,2024-08-08,India,H,Hockey,Men,India,IND,1
Bronze,2024-01-08,Great Britain,H,Rowing,Men's Four,Great Britain,GBR,1
Gold,2024-05-08,Italy 1,Mixte,Shooting,Skeet Mixed Team,Italy,ITA,3
Bronze,2024-07-08,Spain,Équipe,Artistic Swimming,Team,Spain,ESP,1
Gold,2024-07-27,United States,H,Swimming,Men's 4 x 100m Freestyle Relay,United States,USA,3
Silver,2024-07-27,United States,F,Swimming,Women's 4 x 100m Freestyle Relay,United States,USA,2
Gold,2024-07-30,WANG/SUN,Mixte,Table Tennis,Mixed Doubles,China,CHN,3
Bronze,2024-09-08,HUBERLI/BRUNNER,F,Beach Volleyball,Women,Switzerland,SUI,1
Bronze,2024-07-28,Jenny RISSVEDS,F,Cycling Mountain Bike,Women's Cross-country,Sweden,SWE,1
Bronze,2024-06-08,Zholaman SHARSHENBEKOV,H,Wrestling,Men's Greco-Roman 60kg,Kyrgyzstan,KGZ,1
Bronze,2024-07-27,Tara BABULFATH,F,Judo,Women -48 kg,Sweden,SWE,1
Silver,2024-10-08,SATO Taishu,H,Modern Pentathlon,Men's Individual,Japan,JPN,2
Bronze,2024-01-08,Peter PALTCHIK,H,Judo,Men -100 kg,Israel,ISR,1
Silver,2024-07-08,Anne-Marie RINDOM,F,Sailing,Women's Dinghy,Denmark,DEN,2
Bronze,2024-09-08,VIDTS Noor,F,Athletics,Women's Heptathlon,Belgium,BEL,1
Gold,2024-10-08,Tamirat TOLA,H,Athletics,Men's Marathon,Ethiopia,ETH,3
Bronze,2024-09-08,David BETLEHEM,H,Marathon Swimming,Men's 10km,Hungary,HUN,1
Silver,2024-02-08,Benjamin PROUD,H,Swimming,Men's 50m Freestyle,Great Britain,GBR,2
Silver,2024-02-08,Duncan SCOTT,H,Swimming,Men's 200m Individual Medley,Great Britain,GBR,2
Gold,2024-07-31,Alex YEE,H,Triathlon,Men's Individual,Great Britain,GBR,3
Gold,2024-03-08,Thea LAFOND,F,Athletics,Women's Triple Jump,Dominica,DMA,3
Silver,2024-05-08,HE Bing Jiao,F,Badminton,Women's Singles,China,CHN,2
Silver,2024-07-08,DENG Lijuan,F,Sport Climbing,Women's Speed,China,CHN,2
Bronze,2024-05-08,Noah HEGGE,H,Canoe Slalom,Men's Kayak Cross,Germany,GER,1
Silver,2024-06-08,YANG Wenlu,F,Boxing,Women's 60kg,China,CHN,2
Silver,2024-07-30,Regan SMITH,F,Swimming,Women's 100m Backstroke,United States,USA,2
Silver,2024-07-29,TANG Qianting,F,Swimming,Women's 100m Breaststroke,China,CHN,2
Silver,2024-07-31,Zac STUBBLETY-COOK,H,Swimming,Men's 200m Breaststroke,Australia,AUS,2
Bronze,2024-03-08,Beatriz Iasmin SOARES FERREIRA,F,Boxing,Women's 60kg,Brazil,BRA,1
Silver,2024-10-08,Nevin HARRISON,F,Canoe Sprint,Women's Canoe Single 200m,United States,USA,2
Silver,2024-11-08,Kennedy Alexis BLADES,F,Wrestling,Women's Freestyle 76kg,United States,USA,2
Gold,2024-04-08,Noah LYLES,H,Athletics,Men's 100m,United States,USA,3
Silver,2024-08-08,Anna COCKRELL,F,Athletics,Women's 400m Hurdles,United States,USA,2
Bronze,2024-05-08,Emmanouil KARALIS,H,Athletics,Men's Pole Vault,Greece,GRE,1
Silver,2024-07-08,Katie MOON,F,Athletics,Women's Pole Vault,United States,USA,2
Bronze,2024-04-08,Charlotte FRY,Équipe,Equestrian,Dressage Individual,Great Britain,GBR,1
Silver,2024-07-31,Julie DERRON,F,Triathlon,Women's Individual,Switzerland,SUI,2
Bronze,2024-02-08,Alisher YUSUPOV,H,Judo,Men +100 kg,Uzbekistan,UZB,1
Gold,2024-04-08,Sarah SJOESTROEM,F,Swimming,Women's 50m Freestyle,Sweden,SWE,3
Bronze,2024-07-08,Line Flem HOEST,F,Sailing,Women's Dinghy,Norway,NOR,1
Silver,2024-01-08,Titouan CASTRYCK,H,Canoe Slalom,Men's Kayak Single,France,FRA,2
Bronze,2024-02-08,Romane DICKO,F,Judo,Women +78 kg,France,FRA,1
Bronze,2024-04-08,David de PINA,H,Boxing,Men's 51kg,Cabo Verde,CPV,1
Gold,2024-03-08,YANG Jiin,F,Shooting,25m Pistol Women,Korea,KOR,3
Gold,2024-10-08,Jakob INGEBRIGTSEN,H,Athletics,Men's 5000m,Norway,NOR,3
Silver,2024-06-08,CHEN Yuxi,F,Diving,Women's 10m Platform,China,CHN,2
Gold,2024-07-29,HORIGOME Yuto,H,Skateboarding,Men's Street,Japan,JPN,3
Silver,2024-03-08,Artem DOLGOPYAT,H,Artistic Gymnastics,Men's Floor Exercise,Israel,ISR,2
Gold,2024-07-08,HOU Zhihui,F,Weightlifting,Women's 49kg,China,CHN,3
Silver,2024-05-08,ZHOU Yaqin,F,Artistic Gymnastics,Women's Balance Beam,China,CHN,2
Silver,2024-07-08,Matthew HUDSON-SMITH,H,Athletics,Men's 400m,Great Britain,GBR,2
Gold,2024-01-08,Brian Daniel PINTADO,H,Athletics,Men's 20km Race Walk,Ecuador,ECU,3
Silver,2024-07-31,Torri HUSKE,F,Swimming,Women's 100m Freestyle,United States,USA,2
Bronze,2024-07-27,Katie LEDECKY,F,Swimming,Women's 400m Freestyle,United States,USA,1
Bronze,2024-04-08,Eleanor PATTERSON,F,Athletics,Women's High Jump,Australia,AUS,1
Silver,2024-04-08,Nicola OLYSLAGERS,F,Athletics,Women's High Jump,Australia,AUS,2
Bronze,2024-03-08,Viktorija SENKUTE,F,Rowing,Women's Single Sculls,Lithuania,LTU,1
Bronze,2024-01-08,ZHANG Yufei,F,Swimming,Women's 200m Butterfly,China,CHN,1
Bronze,2024-07-29,Nick ITKIN,H,Fencing,Men's Foil Individual,United States,USA,1
Gold,2024-04-08,Kristen FAULKNER,F,Cycling Road,Women's Road Race,United States,USA,3
Bronze,2024-04-08,Sunisa LEE,F,Artistic Gymnastics,Women's Uneven Bars,United States,USA,1
Bronze,2024-10-08,Djamel SEDJATI,H,Athletics,Men's 800m,Algeria,ALG,1
Gold,2024-03-08,Karolien FLORIJN,F,Rowing,Women's Single Sculls,Netherlands,NED,3
Gold,2024-02-08,Joshua CHEPTEGEI,H,Athletics,"Men's 10,000m",Uganda,UGA,3
Gold,2024-03-08,Carlos Edriel YULO,H,Artistic Gymnastics,Men's Floor Exercise,Philippines,PHI,3
Bronze,2024-08-08,CHOE Hyo Gyong,F,Wrestling,Women's Freestyle 53kg,DPR Korea,PRK,1
Silver,2024-08-08,Australia,H,Canoe Sprint,Men's Kayak Four 500m,Australia,AUS,2
Gold,2024-01-08,United States,F,Fencing,Women's Foil Team,United States,USA,3
Bronze,2024-03-08,Japan,F,Fencing,Women's Sabre Team,Japan,JPN,1
Gold,2024-10-08,People's Republic of China,F,Rhythmic Gymnastics,Group All-Around,China,CHN,3
Bronze,2024-03-08,Korea,Mixte,Judo,Mixed Team,Korea,KOR,1
Bronze,2024-08-08,DAHLBERG/KARLSSON,Mixte,Sailing,Mixed Dinghy,Sweden,SWE,1
Silver,2024-07-27,Korea 1,Mixte,Shooting,10m Air Rifle Mixed Team,Korea,KOR,2
Silver,2024-09-08,Mehran BARKHORDARI,H,Taekwondo,Men -80kg,IR Iran,IRI,2
Bronze,2024-07-29,Mona Mc SHARRY,F,Swimming,Women's 100m Breaststroke,Ireland,IRL,1
Bronze,2024-07-31,Leo BERGERE,H,Triathlon,Men's Individual,France,FRA,1
Bronze,2024-11-08,Emily CAMPBELL,F,Weightlifting,Women's +81kg,Great Britain,GBR,1
Bronze,2024-10-08,Jessica PILZ,F,Sport Climbing,Women's Boulder & Lead,Austria,AUT,1
Silver,2024-07-28,AKAMA Liz,F,Skateboarding,Women's Street,Japan,JPN,2
Bronze,2024-01-08,Alvaro MARTIN,H,Athletics,Men's 20km Race Walk,Spain,ESP,1
Silver,2024-07-31,Silvana Maria STANCO,F,Shooting,Trap Women,Italy,ITA,2
Silver,2024-09-08,Salwa Eid NASER,F,Athletics,Women's 400m,Bahrain,BRN,2
Silver,2024-07-27,Filippo GANNA,H,Cycling Road,Men's Individual Time Trial,Italy,ITA,2
Silver,2024-07-29,Filippo MACCHI,H,Fencing,Men's Foil Individual,Italy,ITA,2
Bronze,2024-08-08,Annelous LAMMERTS,F,Sailing,Women's Kite,Netherlands,NED,1
Bronze,2024-04-08,Wyatt SANFORD,H,Boxing,Men's 63.5kg,Canada,CAN,1
Gold,2024-09-08,SCHOPF/LEMKE,H,Canoe Sprint,Men's Kayak Double 500m,Germany,GER,3
Silver,2024-09-08,Marco Alonso VERDE ALVAREZ,H,Boxing,Men's 71kg,Mexico,MEX,2
Gold,2024-04-08,Kaylia NEMOUR,F,Artistic Gymnastics,Women's Uneven Bars,Algeria,ALG,3
Gold,2024-10-08,Abdumalik KHALOKOV,H,Boxing,Men's 57kg,Uzbekistan,UZB,3
