Type_médaille,Date,Athlète,Sexe,Discipline,Épreuve,Pays,Code_pays,Points
Gold,2024-10-08,PHIL WIZARD,H,Breaking,B-Boys,Canada,CAN,3
Bronze,2024-10-08,Grant FISHER,H,Athletics,Men's 5000m,United States,USA,1
Silver,2024-07-27,Summer McINTOSH,F,Swimming,Women's 400m Freestyle,Canada,CAN,2
Bronze,2024-03-08,Great Britain,Mixte,Athletics,4 x 400m Relay Mixed,Great Britain,GBR,1
Silver,2024-08-08,CASADEI/TACCHINI,H,Canoe Sprint,Men's Canoe Double 500m,Italy,ITA,2
Bronze,2024-06-08,Australia,H,Cycling Track,Men's Team Sprint,Australia,AUS,1
Gold,2024-04-08,Japan,H,Fencing,Men's Foil Team,Japan,JPN,3
Bronze,2024-07-27,Kazakhstan 1,Mixte,Shooting,10m Air Rifle Mixed Team,Kazakhstan,KAZ,1
Bronze,2024-04-08,China,F,Swimming,Women's 4 x 100m Medley Relay,China,CHN,1
Bronze,2024-07-08,Malkhas AMOYAN,H,Wrestling,Men's Greco-Roman 77kg,Armenia,ARM,1
Bronze,2024-09-08,Maximilian MAEDER,H,Sailing,Men's Kite,Singapore,SGP,1
Silver,2024-07-30,Prisca AWITI ALCARAZ,F,Judo,Women -63 kg,Mexico,MEX,2
Silver,2024-03-08,Yauheni ZALATY,H,Rowing,Men's Single Sculls,AIN,AIN,2
Gold,2024-09-08,Toby ROBERTS,H,Sport Climbing,Men's Boulder & Lead,Great Britain,GBR,3
Gold,2024-10-08,Geno PETRIASHVILI,H,Wrestling,Men's Freestyle 125kg,Georgia,GEO,3
Gold,2024-08-08,Semen Sergeevich NOVIKOV,H,Wrestling,Men's Greco-Roman 87kg,Bulgaria,BUL,3
Bronze,2024-10-08,Nafia KUS AYDIN,F,Taekwondo,Women +67kg,Türkiye,TUR,1
Gold,2024-04-08,Yaroslava MAHUCHIKH,F,Athletics,Women's High Jump,Ukraine,UKR,3
Gold,2024-09-08,Viviana MARTON,F,Taekwondo,Women -67kg,Hungary,HUN,3
Gold,2024-08-08,Arshad NADEEM,H,Athletics,Men's Javelin Throw,Pakistan,PAK,3
Silver,2024-10-08,Munarbek SEIITBEK UULU,H,Boxing,Men's 57kg,Kyrgyzstan,KGZ,2
Silver,2024-10-08,DANY DANN,H,Breaking,B-Boys,France,FRA,2
Gold,2024-07-29,Nicolas GESTIN,H,Canoe Slalom,Men's Canoe Single,France,FRA,3
Silver,2024-11-08,Lea FRIEDRICH,F,Cycling Track,Women's Sprint,Germany,GER,2
Silver,2024-10-08,TAMAI Rikuto,H,Diving,Men's 10m Platform,Japan,JPN,2
Silver,2024-10-08,Esther HENSELEIT,F,Golf,Women's Individual Stroke Play,Germany,GER,2
Gold,2024-07-28,KANO Koki,H,Fencing,Men's Épée Individual,Japan,JPN,3
Bronze,2024-10-08,Noah WILLIAMS,H,Diving,Men's 10m Platform,Great Britain,GBR,1
Gold,2024-08-08,XIE Siyi,H,Diving,Men's 3m Springboard,China,CHN,3
Bronze,2024-07-31,Gabriella WILLEMS,F,Judo,Women -70 kg,Belgium,BEL,1
Gold,2024-06-08,Christian KUKUK,Équipe,Equestrian,Jumping Individual,Germany,GER,3
Bronze,2024-06-08,MENG Lingzhe,H,Wrestling,Men's Greco-Roman 130kg,China,CHN,1
Gold,2024-07-28,Torri HUSKE,F,Swimming,Women's 100m Butterfly,United States,USA,3
Gold,2024-09-08,HIGUCHI Rei,H,Wrestling,Men's Freestyle 57kg,Japan,JPN,3
Bronze,2024-07-08,Matthew DENNY,H,Athletics,Men's Discus Throw,Australia,AUS,1
Gold,2024-06-08,Cole HOCKER,H,Athletics,Men's 1500m,United States,USA,3
Silver,2024-08-08,Zaid KAREEM,H,Taekwondo,Men -68kg,Jordan,JOR,2
Bronze,2024-05-08,Ana BARBOSU,F,Artistic Gymnastics,Women's Floor Exercise,Romania,ROU,1
Bronze,2024-06-08,Mattia FURLANI,H,Athletics,Men's Long Jump,Italy,ITA,1
Gold,2024-06-08,Kellie HARRINGTON,F,Boxing,Women's 60kg,Ireland,IRL,3
Bronze,2024-07-29,Sarah Leonie CYSIQUE,F,Judo,Women -57 kg,France,FRA,1
Gold,2024-10-08,Althea LAURIN,F,Taekwondo,Women +67kg,France,FRA,3
Bronze,2024-07-08,Surodchana KHAMBAO,F,Weightlifting,Women's 49kg,Thailand,THA,1
Gold,2024-07-31,Barbara MATIC,F,Judo,Women -70 kg,Croatia,CRO,3
Bronze,2024-04-08,Lotte KOPECKY,F,Cycling Road,Women's Road Race,Belgium,BEL,1
Gold,2024-08-08,KIM Yujin,F,Taekwondo,Women -57kg,Korea,KOR,3
Gold,2024-07-31,Leon MARCHAND,H,Swimming,Men's 200m Butterfly,France,FRA,3
Bronze,2024-05-08,Sandra ELKASEVIC,F,Athletics,Women's Discus Throw,Croatia,CRO,1
Silver,2024-07-28,Willian LIMA,H,Judo,Men -66 kg,Brazil,BRA,2
Gold,2024-06-08,Amit ELOR,F,Wrestling,Women's Freestyle 68kg,United States,USA,3
Gold,2024-04-08,Novak DJOKOVIC,H,Tennis,Men's Singles,Serbia,SRB,3
Gold,2024-03-08,Ryan CROUSER,H,Athletics,Men's Shot Put,United States,USA,3
Gold,2024-07-27,KONG Man Wai Vivian,F,Fencing,Women's Épée Individual,"Hong Kong, China",HKG,3
Bronze,2024-03-08,Simon van DORP,H,Rowing,Men's Single Sculls,Netherlands,NED,1
Silver,2024-08-08,Maude CHARRON,F,Weightlifting,Women's 59kg,Canada,CAN,2
Bronze,2024-07-31,Caspar CORBEAU,H,Swimming,Men's 200m Breaststroke,Netherlands,NED,1
Bronze,2024-10-08,Great Britain,F,Athletics,Women's 4 x 400m Relay,Great Britain,GBR,1
Silver,2024-03-08,LIU/TAN,F,Badminton,Women's Doubles,China,CHN,2
Bronze,2024-11-08,Australia,F,Basketball,Women,Australia,AUS,1
Silver,2024-11-08,France,F,Basketball,Women,France,FRA,2
Gold,2024-06-08,Netherlands,H,Cycling Track,Men's Team Sprint,Netherlands,NED,3
Gold,2024-03-08,Germany,Équipe,Equestrian,Dressage Team,Germany,GER,3
Silver,2024-02-08,Japan,H,Fencing,Men's Épée Team,Japan,JPN,2
Silver,2024-07-30,France,F,Fencing,Women's Épée Team,France,FRA,2
Bronze,2024-03-08,Brazil,Mixte,Judo,Mixed Team,Brazil,BRA,1
Gold,2024-03-08,Great Britain,H,Rowing,Men's Eight,Great Britain,GBR,3
Silver,2024-07-30,Canada,F,Rugby Sevens,Women,Canada,CAN,2
Bronze,2024-03-08,FRITZ/PAUL,H,Tennis,Men's Doubles,United States,USA,1
Silver,2024-03-08,KRAJICEK/RAM,H,Tennis,Men's Doubles,United States,USA,2
Silver,2024-09-08,MELISSA/BRANDIE,F,Beach Volleyball,Women,Canada,CAN,2
Bronze,2024-11-08,Sebastian C RIVERA,H,Wrestling,Men's Freestyle 65kg,Puerto Rico,PUR,1
Silver,2024-06-08,Julien ALFRED,F,Athletics,Women's 200m,Saint Lucia,LCA,2
Bronze,2024-11-08,Amirali AZARPIRA,H,Wrestling,Men's Freestyle 97kg,IR Iran,IRI,1
Silver,2024-08-08,Parviz NASIBOV,H,Wrestling,Men's Greco-Roman 67kg,Ukraine,UKR,2
Bronze,2024-09-08,Andy DIAZ HERNANDEZ,H,Athletics,Men's Triple Jump,Italy,ITA,1
Silver,2024-08-08,Lauriane NOLOT,F,Sailing,Women's Kite,France,FRA,2
Bronze,2024-10-08,Mutaz Essa BARSHIM,H,Athletics,Men's High Jump,Qatar,QAT,1
Silver,2024-09-08,Anastasia NICHITA,F,Wrestling,Women's Freestyle 57kg,Republic of Moldova,MDA,2
Gold,2024-07-31,Sarah SJOESTROEM,F,Swimming,Women's 100m Freestyle,Sweden,SWE,3
Bronze,2024-07-31,Maxime-Gael NGAYAP HAMBOU,H,Judo,Men -90 kg,France,FRA,1
Silver,2024-01-08,Inbar LANIR,F,Judo,Women -78 kg,Israel,ISR,2
Bronze,2024-04-08,Yunior ALCANTARA REYES,H,Boxing,Men's 51kg,Dominican Republic,DOM,1
Gold,2024-01-08,LIU Yukun,H,Shooting,50m Rifle 3 Positions Men,China,CHN,3
Gold,2024-11-08,LI Wenwen,F,Weightlifting,Women's +81kg,China,CHN,3
Silver,2024-07-28,Gretchen WALSH,F,Swimming,Women's 100m Butterfly,United States,USA,2
Silver,2024-10-08,TAKATANI Daichi,H,Wrestling,Men's Freestyle 74kg,Japan,JPN,2
Silver,2024-07-31,Kyle CHALMERS,H,Swimming,Men's 100m Freestyle,Australia,AUS,2
Silver,2024-09-08,Aleksandra PERISIC,F,Taekwondo,Women -67kg,Serbia,SRB,2
Bronze,2024-03-08,Melissa JEFFERSON,F,Athletics,Women's 100m,United States,USA,1
Silver,2024-10-08,Atheyna Bibeichi BYLON,F,Boxing,Women's 75kg,Panama,PAN,2
Silver,2024-02-08,Germany,Mixte,Archery,Mixed Team,Germany,GER,2
Gold,2024-03-08,CHEN/JIA,F,Badminton,Women's Doubles,China,CHN,3
Silver,2024-03-08,Denmark,Équipe,Equestrian,Dressage Team,Denmark,DEN,2
Silver,2024-05-08,Tsige DUGUMA,F,Athletics,Women's 800m,Ethiopia,ETH,2
Silver,2024-09-08,Matthew RICHARDSON,H,Cycling Track,Men's Sprint,Australia,AUS,2
